iter	Passed	Remaining
674	4546	2189
675	4549	2180
676	4552	2171
677	4555	2163
678	4558	2155
679	4561	2146
680	4564	2138
681	4567	2129
682	4570	2121
683	4573	2112
684	4576	2104
685	4578	2095
686	4581	2087
687	4584	2079
688	4588	2070
689	4590	2062
690	4594	2054
691	4596	2045
692	4599	2037
693	4602	2029
694	4605	2020
695	4608	2012
696	4610	2004
697	4614	1996
698	4616	1988
699	4620	1980
700	4622	1971
701	4625	1963
702	4628	1955
703	4631	1947
704	4634	1939
705	4637	1931
706	4639	1922
707	4643	1914
708	4645	1906
709	4649	1898
710	4651	1890
711	4654	1882
712	4657	1874
713	4660	1866
714	4663	1858
715	4665	1850
716	4668	1842
717	4671	1834
718	4674	1827
719	4677	1819
720	4680	1811
721	4683	1803
722	4686	1795
723	4689	1787
724	4692	1779
725	4694	1771
726	4697	1764
727	4700	1756
728	4704	1748
729	4706	1740
730	4709	1733
731	4712	1725
732	4715	1717
733	4718	1710
734	4721	1702
735	4724	1694
736	4727	1686
737	4730	1679
738	4733	1671
739	4736	1664
740	4738	1656
741	4741	1648
742	4744	1641
743	4747	1633
744	4750	1625
745	4753	1618
746	4755	1610
747	4758	1603
748	4761	1595
749	4764	1588
750	4769	1581
751	4773	1574
752	4776	1566
753	4779	1559
754	4781	1551
755	4784	1544
756	4787	1536
757	4789	1529
758	4792	1521
759	4795	1514
760	4798	1506
761	4802	1500
762	4806	1493
763	4809	1485
764	4812	1478
765	4814	1470
766	4817	1463
767	4820	1456
768	4823	1448
769	4826	1441
770	4828	1434
771	4831	1426
772	4834	1419
773	4837	1412
774	4840	1405
775	4842	1397
776	4845	1390
777	4848	1383
778	4850	1376
779	4854	1369
780	4856	1361
781	4859	1354
782	4862	1347
783	4864	1340
784	4867	1333
785	4870	1326
786	4873	1318
787	4875	1311
788	4878	1304
789	4881	1297
790	4884	1290
791	4887	1283
792	4890	1276
793	4892	1269
794	4895	1262
795	4898	1255
796	4901	1248
797	4903	1241
798	4907	1234
799	4910	1227
800	4913	1220
801	4916	1213
802	4919	1206
803	4921	1199
804	4924	1192
805	4928	1186
806	4930	1179
807	4933	1172
808	4937	1165
809	4941	1159
810	4946	1152
811	4952	1146
812	4958	1140
813	4961	1133
814	4965	1127
815	4967	1120
816	4970	1113
817	4973	1106
818	4976	1099
819	4979	1092
820	4981	1086
821	4985	1079
822	4987	1072
823	4991	1066
824	4993	1059
825	4996	1052
826	4999	1045
827	5002	1039
828	5005	1032
829	5007	1025
830	5010	1019
831	5013	1012
832	5016	1005
833	5019	999
834	5021	992
835	5024	985
836	5027	979
837	5030	972
838	5033	965
839	5036	959
840	5038	952
841	5042	946
842	5046	939
843	5050	933
844	5053	926
845	5056	920
846	5059	913
847	5061	907
848	5065	900
849	5067	894
850	5070	887
851	5073	881
852	5076	874
853	5079	868
854	5082	861
855	5084	855
856	5087	848
857	5090	842
858	5093	836
859	5096	829
860	5099	823
861	5101	816
862	5104	810
863	5107	803
864	5110	797
865	5113	791
866	5115	784
867	5118	778
868	5121	772
869	5124	765
870	5127	759
871	5129	753
872	5132	746
873	5135	740
874	5137	733
875	5140	727
876	5143	721
877	5146	715
878	5149	708
879	5152	702
880	5154	696
881	5157	690
882	5160	683
883	5162	677
884	5165	671
885	5168	665
886	5171	658
887	5174	652
888	5177	646
889	5179	640
890	5182	634
891	5185	627
892	5188	621
893	5190	615
894	5193	609
895	5197	603
896	5200	597
897	5202	590
898	5205	584
899	5208	578
900	5211	572
901	5213	566
902	5216	560
903	5219	554
904	5221	548
905	5224	542
906	5227	536
907	5230	529
908	5233	523
909	5236	517
910	5239	511
911	5241	505
912	5244	499
913	5247	493
914	5249	487
915	5252	481
916	5255	475
917	5258	469
918	5260	463
919	5263	457
920	5266	451
921	5269	445
922	5272	439
923	5275	433
924	5278	427
925	5280	422
926	5283	416
927	5286	410
928	5289	404
929	5292	398
930	5295	392
931	5298	386
932	5300	380
933	5303	374
934	5306	368
935	5308	363
936	5311	357
937	5314	351
938	5317	345
939	5320	339
940	5323	333
941	5326	327
942	5329	322
943	5331	316
944	5334	310
945	5337	304
946	5340	298
947	5342	293
948	5345	287
949	5348	281
950	5351	275
951	5354	269
952	5357	264
953	5359	258
954	5362	252
955	5365	246
956	5368	241
957	5370	235
958	5373	229
959	5376	224
960	5379	218
961	5381	212
962	5384	206
963	5387	201
964	5390	195
965	5392	189
966	5395	184
967	5398	178
968	5400	172
969	5403	167
970	5406	161
971	5409	155
972	5412	150
973	5414	144
974	5417	138
975	5420	133
976	5423	127
977	5425	122
978	5428	116
979	5431	110
980	5433	105
981	5436	99
982	5440	94
983	5442	88
984	5445	82
985	5448	77
986	5451	71
987	5453	66
988	5456	60
989	5459	55
990	5462	49
991	5464	44
992	5467	38
993	5470	33
994	5472	27
995	5475	21
996	5478	16
997	5480	10
998	5483	5
999	5486	0

970	16017	478
971	16036	461
972	16051	445
973	16074	429
974	16095	412
975	16115	396
976	16137	379
977	16157	363
978	16181	347
979	16197	330
980	16212	313
981	16230	297
982	16251	281
983	16268	264
984	16279	247
985	16293	231
986	16307	214
987	16323	198
988	16344	181
989	16359	165
990	16376	148
991	16392	132
992	16407	115
993	16421	99
994	16435	82
995	16453	66
996	16471	49
997	16489	33
998	16502	16
999	16522	0
